image,budget,seed,init_budget,max_gaussians,strategy,tensor,tensor_color,density,sampling,orientation,color,scale,scale_cap,opacity,renderer,aa,color_basis,color_solve,loss,optimizer,lr_schedule,state_seed,row_temper,support_fade,pyramid,refine_site,refine_primitive,refine_nms,refine_color,refine_prune,refine_relocate,refine,config_label,is_baseline,early_exit,early_stop_patience,early_stop_min_delta,early_stop_min_iters,status,psnr,ssim,ms_ssim,lpips,auc_psnr,auc_psnr_horizon,iters_to_target,iters_to_targets,seconds_to_target,n_gaussians,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds,total_seconds,split_event_count,ranked_wave_score_mean,ranked_wave_residual_support_mean,ranked_wave_activity_mean,ranked_wave_footprint_mean,absgrad_score_mean,absgrad_score_max,freq_violation_score_mean,freq_violation_score_max,freq_violation_axis0_count,freq_violation_axis1_count,freq_violation_freq_mean,color_solve_every,color_solve_schedule,color_solve_lambda,color_solve_maxiter,color_solve_event_count,color_solve_relative_residual_mean,relocate_event_count,seed_new_row_optimizer_state,new_row_temper_iters,new_row_temper_start,tempered_new_rows_mean,support_fade_static,support_fade_until_frac,support_fade_crossfade_iters,support_fade_alpha_mean,post_split_delta_mean,split_recovery_iters_mean,adaptive_count,adaptive_event_count,adaptive_growth_count,adaptive_stop_reason,adaptive_selected_n,estimated_bpp,target_ms_ssim,target_bpp
kodim01,5000,0,5000,5000,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,off,off,off,single,none,duplicate,off,target,off,off,none,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,46.931,0.99835,0.99961,,39.51676894042451,observed,,{},,5000,60,False,,0.009080886840820312,0.6019008159637451,1.1995062828063965,0,,,,,,,,,,,,,none,0.0001,32,0,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,465.1163,,
kodim01,5000,0,5000,5000,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,off,off,on,single,none,duplicate,off,target,off,off,none,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=on|pyramid=single,False,False,,,,ok,47.0582,0.99835,0.9996,,39.69738515756898,observed,,{},,5000,60,False,,0.0022881031036376953,0.6057448387145996,0.616032600402832,0,,,,,,,,,,,,,none,0.0001,32,0,,0,False,0,0.25,0.0,True,,10,1.0,,,False,0,0,,,465.1163,,
kodim01,5000,0,5000,5000,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,off,off,until0.5,single,none,duplicate,off,target,off,off,none,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=until0.5|pyramid=single,False,False,,,,ok,46.9431,0.9983,0.9996,,39.62362300743491,observed,,{},,5000,60,False,,0.0022225379943847656,0.6100413799285889,0.620053768157959,0,,,,,,,,,,,,,none,0.0001,32,0,,0,False,0,0.25,0.0,False,0.5,10,0.576923,,,False,0,0,,,465.1163,,
kodim01,10000,0,10000,10000,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,off,off,off,single,none,duplicate,off,target,off,off,none,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,47.9852,0.99885,0.99968,,40.36170789750956,observed,,{},,10000,60,False,,0.003145933151245117,0.9791369438171387,0.9964344501495361,0,,,,,,,,,,,,,none,0.0001,32,0,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,930.2326,,
kodim01,10000,0,10000,10000,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,off,off,on,single,none,duplicate,off,target,off,off,none,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=on|pyramid=single,False,False,,,,ok,48.6294,0.99897,0.99971,,40.69312100491281,observed,,{},,10000,60,False,,0.003192901611328125,1.0164024829864502,1.0324430465698242,0,,,,,,,,,,,,,none,0.0001,32,0,,0,False,0,0.25,0.0,True,,10,1.0,,,False,0,0,,,930.2326,,
kodim01,10000,0,10000,10000,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,off,off,until0.5,single,none,duplicate,off,target,off,off,none,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=until0.5|pyramid=single,False,False,,,,ok,48.4022,0.99893,0.9997,,40.60490891084833,observed,,{},,10000,60,False,,0.0032460689544677734,0.9970061779022217,1.0139086246490479,0,,,,,,,,,,,,,none,0.0001,32,0,,0,False,0,0.25,0.0,False,0.5,10,0.576923,,,False,0,0,,,930.2326,,
kodim07,5000,0,5000,5000,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,off,off,off,single,none,duplicate,off,target,off,off,none,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,48.827,0.99923,0.99977,,39.37313199447373,observed,,{},,5000,60,False,,0.0021207332611083984,0.6014842987060547,0.6107034683227539,0,,,,,,,,,,,,,none,0.0001,32,0,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,465.1163,,
kodim07,5000,0,5000,5000,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,off,off,on,single,none,duplicate,off,target,off,off,none,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=on|pyramid=single,False,False,,,,ok,48.8832,0.99922,0.99978,,39.703047930184056,observed,,{},,5000,60,False,,0.002192258834838867,0.630152702331543,0.6404309272766113,0,,,,,,,,,,,,,none,0.0001,32,0,,0,False,0,0.25,0.0,True,,10,1.0,,,False,0,0,,,465.1163,,
kodim07,5000,0,5000,5000,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,off,off,until0.5,single,none,duplicate,off,target,off,off,none,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=until0.5|pyramid=single,False,False,,,,ok,49.0016,0.99922,0.99977,,39.63577736030191,observed,,{},,5000,60,False,,0.002097606658935547,0.6411254405975342,0.6514132022857666,0,,,,,,,,,,,,,none,0.0001,32,0,,0,False,0,0.25,0.0,False,0.5,10,0.576923,,,False,0,0,,,465.1163,,
kodim07,10000,0,10000,10000,aniso_flanking,central,luma,structure,density_random,tensor,bilinear,spacing,none,none,normalized,0.0,constant,none,l1,adam,none,off,off,off,single,none,duplicate,off,target,off,off,none,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=density_random|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|aa=0.0|color_basis=constant|color_solve=none|loss=l1|optimizer=adam|lr_schedule=none|refine_site=none|refine_primitive=duplicate|refine_nms=off|refine_color=target|refine_prune=off|refine_relocate=off|state_seed=off|row_temper=off|support_fade=off|pyramid=single,False,False,,,,ok,50.2188,0.99946,0.99982,,40.58074414528022,observed,,{},,10000,60,False,,0.003852367401123047,0.9792871475219727,0.9940958023071289,0,,,,,,,,,,,,,none,0.0001,32,0,,0,False,0,0.25,0.0,False,,10,0.0,,,False,0,0,,,930.2326,,
