action,action_family,artifacts,base_objective,cell_id,cold_render_max_abs,counter_scope,donor,extra_cell_render_evaluations,family,forward_evaluations,gradient_evaluations,immediate_gain,immediate_objective,iterations_run,lpips,magnitude,ms_ssim,n_gaussians,position_activity,position_coherence,predicted_gain,proposal_seconds,psnr,recovered_gain,seed,selected_iteration,shared_case_render_evaluations,smoke,split_min_eigenvalue,status,terminal_objective,total_cell_render_evaluations,total_seconds
noop,noop,"{""base_field.npz"":""cells/translation_s0_noop/base_field.npz"",""base_reconstruction.npy"":""cells/translation_s0_noop/base_reconstruction.npy"",""config.json"":""cells/translation_s0_noop/config.json"",""curves.png"":""cells/translation_s0_noop/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translation_s0_noop/error.png"",""field.npz"":""cells/translation_s0_noop/field.npz"",""gradient_packet"":""cases/translation_s0/gradient_packet.npz"",""history.json"":""cells/translation_s0_noop/history.json"",""immediate.png"":""cells/translation_s0_noop/immediate.png"",""immediate_reconstruction.npy"":""cells/translation_s0_noop/immediate_reconstruction.npy"",""input_field.npz"":""cells/translation_s0_noop/input_field.npz"",""progress.jsonl"":""cells/translation_s0_noop/progress.jsonl"",""reconstruction.npy"":""cells/translation_s0_noop/reconstruction.npy"",""reconstruction.png"":""cells/translation_s0_noop/reconstruction.png"",""target.npy"":""cells/translation_s0_noop/target.npy"",""target.png"":""cells/translation_s0_noop/target.png""}",9.206762212006043e-05,translation_s0_noop,0.0,recovery only,,2,translation,21,20,0.0,9.206762212006043e-05,20,0.00023015172337181866,0.0,0.999611496925354,3,0.00018028123304247856,0.5003522123796658,0.0,0.0040094410032907035,55.448418423421295,9.064159376202077e-05,0,20,6,false,-5.452255663840333e-06,ok,1.426028358039667e-06,23,0.02845167800114723
move_m5,move,"{""base_field.npz"":""cells/translation_s0_move_m5/base_field.npz"",""base_reconstruction.npy"":""cells/translation_s0_move_m5/base_reconstruction.npy"",""config.json"":""cells/translation_s0_move_m5/config.json"",""curves.png"":""cells/translation_s0_move_m5/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translation_s0_move_m5/error.png"",""field.npz"":""cells/translation_s0_move_m5/field.npz"",""gradient_packet"":""cases/translation_s0/gradient_packet.npz"",""history.json"":""cells/translation_s0_move_m5/history.json"",""immediate.png"":""cells/translation_s0_move_m5/immediate.png"",""immediate_reconstruction.npy"":""cells/translation_s0_move_m5/immediate_reconstruction.npy"",""input_field.npz"":""cells/translation_s0_move_m5/input_field.npz"",""progress.jsonl"":""cells/translation_s0_move_m5/progress.jsonl"",""reconstruction.npy"":""cells/translation_s0_move_m5/reconstruction.npy"",""reconstruction.png"":""cells/translation_s0_move_m5/reconstruction.png"",""target.npy"":""cells/translation_s0_move_m5/target.npy"",""target.png"":""cells/translation_s0_move_m5/target.png""}",9.206762212006043e-05,translation_s0_move_m5,0.0,recovery only,,2,translation,21,20,6.568409681389728e-05,2.638352530616316e-05,20,0.00017900473903864622,0.5,0.9993404746055603,3,0.00018028123304247856,0.5003522123796658,6.390280032064766e-05,0.0040094410032907035,53.63561641995648,8.990286905943793e-05,0,20,6,false,-5.452255663840333e-06,ok,2.1647530606225006e-06,23,0.030409757000597892
move_m10,move,"{""base_field.npz"":""cells/translation_s0_move_m10/base_field.npz"",""base_reconstruction.npy"":""cells/translation_s0_move_m10/base_reconstruction.npy"",""config.json"":""cells/translation_s0_move_m10/config.json"",""curves.png"":""cells/translation_s0_move_m10/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translation_s0_move_m10/error.png"",""field.npz"":""cells/translation_s0_move_m10/field.npz"",""gradient_packet"":""cases/translation_s0/gradient_packet.npz"",""history.json"":""cells/translation_s0_move_m10/history.json"",""immediate.png"":""cells/translation_s0_move_m10/immediate.png"",""immediate_reconstruction.npy"":""cells/translation_s0_move_m10/immediate_reconstruction.npy"",""input_field.npz"":""cells/translation_s0_move_m10/input_field.npz"",""progress.jsonl"":""cells/translation_s0_move_m10/progress.jsonl"",""reconstruction.npy"":""cells/translation_s0_move_m10/reconstruction.npy"",""reconstruction.png"":""cells/translation_s0_move_m10/reconstruction.png"",""target.npy"":""cells/translation_s0_move_m10/target.npy"",""target.png"":""cells/translation_s0_move_m10/target.png""}",9.206762212006043e-05,translation_s0_move_m10,0.0,recovery only,,2,translation,21,20,9.169615196244641e-05,3.714701576140231e-07,20,3.879176438204013e-05,1.0,0.9998481869697571,3,0.00018028123304247856,0.5003522123796658,8.65470283315517e-05,0.0040094410032907035,61.66321134700563,9.1726704953995e-05,0,20,6,false,-5.452255663840333e-06,ok,3.4091716606543324e-07,23,0.026929980998829706
scale_m5,scale,"{""base_field.npz"":""cells/translation_s0_scale_m5/base_field.npz"",""base_reconstruction.npy"":""cells/translation_s0_scale_m5/base_reconstruction.npy"",""config.json"":""cells/translation_s0_scale_m5/config.json"",""curves.png"":""cells/translation_s0_scale_m5/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translation_s0_scale_m5/error.png"",""field.npz"":""cells/translation_s0_scale_m5/field.npz"",""gradient_packet"":""cases/translation_s0/gradient_packet.npz"",""history.json"":""cells/translation_s0_scale_m5/history.json"",""immediate.png"":""cells/translation_s0_scale_m5/immediate.png"",""immediate_reconstruction.npy"":""cells/translation_s0_scale_m5/immediate_reconstruction.npy"",""input_field.npz"":""cells/translation_s0_scale_m5/input_field.npz"",""progress.jsonl"":""cells/translation_s0_scale_m5/progress.jsonl"",""reconstruction.npy"":""cells/translation_s0_scale_m5/reconstruction.npy"",""reconstruction.png"":""cells/translation_s0_scale_m5/reconstruction.png"",""target.npy"":""cells/translation_s0_scale_m5/target.npy"",""target.png"":""cells/translation_s0_scale_m5/target.png""}",9.206762212006043e-05,translation_s0_scale_m5,0.0,recovery only,,2,translation,21,20,1.3092962953416526e-06,9.075832582471878e-05,20,0.00019754041568376124,0.5,0.9996744394302368,3,0.00018028123304247856,0.5003522123796658,1.2899258763354737e-06,0.0040094410032907035,56.479126320445275,9.09428685708087e-05,0,20,6,false,-5.452255663840333e-06,ok,1.1247535492517297e-06,23,0.027476369999931194
scale_m10,scale,"{""base_field.npz"":""cells/translation_s0_scale_m10/base_field.npz"",""base_reconstruction.npy"":""cells/translation_s0_scale_m10/base_reconstruction.npy"",""config.json"":""cells/translation_s0_scale_m10/config.json"",""curves.png"":""cells/translation_s0_scale_m10/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translation_s0_scale_m10/error.png"",""field.npz"":""cells/translation_s0_scale_m10/field.npz"",""gradient_packet"":""cases/translation_s0/gradient_packet.npz"",""history.json"":""cells/translation_s0_scale_m10/history.json"",""immediate.png"":""cells/translation_s0_scale_m10/immediate.png"",""immediate_reconstruction.npy"":""cells/translation_s0_scale_m10/immediate_reconstruction.npy"",""input_field.npz"":""cells/translation_s0_scale_m10/input_field.npz"",""progress.jsonl"":""cells/translation_s0_scale_m10/progress.jsonl"",""reconstruction.npy"":""cells/translation_s0_scale_m10/reconstruction.npy"",""reconstruction.png"":""cells/translation_s0_scale_m10/reconstruction.png"",""target.npy"":""cells/translation_s0_scale_m10/target.npy"",""target.png"":""cells/translation_s0_scale_m10/target.png""}",9.206762212006043e-05,translation_s0_scale_m10,0.0,recovery only,,2,translation,21,20,1.8127782634925804e-06,9.025484385656785e-05,20,0.0003839302225969732,1.0,0.9996349215507507,3,0.00018028123304247856,0.5003522123796658,1.736769718263531e-06,0.0040094410032907035,56.09168149339078,9.083791452609485e-05,0,20,6,false,-5.452255663840333e-06,ok,1.2297075939655875e-06,23,0.02891950799676124
rotate_m5,rotate,"{""base_field.npz"":""cells/translation_s0_rotate_m5/base_field.npz"",""base_reconstruction.npy"":""cells/translation_s0_rotate_m5/base_reconstruction.npy"",""config.json"":""cells/translation_s0_rotate_m5/config.json"",""curves.png"":""cells/translation_s0_rotate_m5/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translation_s0_rotate_m5/error.png"",""field.npz"":""cells/translation_s0_rotate_m5/field.npz"",""gradient_packet"":""cases/translation_s0/gradient_packet.npz"",""history.json"":""cells/translation_s0_rotate_m5/history.json"",""immediate.png"":""cells/translation_s0_rotate_m5/immediate.png"",""immediate_reconstruction.npy"":""cells/translation_s0_rotate_m5/immediate_reconstruction.npy"",""input_field.npz"":""cells/translation_s0_rotate_m5/input_field.npz"",""progress.jsonl"":""cells/translation_s0_rotate_m5/progress.jsonl"",""reconstruction.npy"":""cells/translation_s0_rotate_m5/reconstruction.npy"",""reconstruction.png"":""cells/translation_s0_rotate_m5/reconstruction.png"",""target.npy"":""cells/translation_s0_rotate_m5/target.npy"",""target.png"":""cells/translation_s0_rotate_m5/target.png""}",9.206762212006043e-05,translation_s0_rotate_m5,0.0,recovery only,,2,translation,21,20,-2.1391579913682124e-15,9.206762212219959e-05,20,0.0002306778187630698,0.5,0.9996108412742615,3,0.00018028123304247856,0.5003522123796658,1.5955423504519702e-19,0.0040094410032907035,55.441674590487025,9.06393776694955e-05,0,20,6,false,-5.452255663840333e-06,ok,1.4282444505649375e-06,23,0.028036621999490308
rotate_m10,rotate,"{""base_field.npz"":""cells/translation_s0_rotate_m10/base_field.npz"",""base_reconstruction.npy"":""cells/translation_s0_rotate_m10/base_reconstruction.npy"",""config.json"":""cells/translation_s0_rotate_m10/config.json"",""curves.png"":""cells/translation_s0_rotate_m10/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translation_s0_rotate_m10/error.png"",""field.npz"":""cells/translation_s0_rotate_m10/field.npz"",""gradient_packet"":""cases/translation_s0/gradient_packet.npz"",""history.json"":""cells/translation_s0_rotate_m10/history.json"",""immediate.png"":""cells/translation_s0_rotate_m10/immediate.png"",""immediate_reconstruction.npy"":""cells/translation_s0_rotate_m10/immediate_reconstruction.npy"",""input_field.npz"":""cells/translation_s0_rotate_m10/input_field.npz"",""progress.jsonl"":""cells/translation_s0_rotate_m10/progress.jsonl"",""reconstruction.npy"":""cells/translation_s0_rotate_m10/reconstruction.npy"",""reconstruction.png"":""cells/translation_s0_rotate_m10/reconstruction.png"",""target.npy"":""cells/translation_s0_rotate_m10/target.npy"",""target.png"":""cells/translation_s0_rotate_m10/target.png""}",9.206762212006043e-05,translation_s0_rotate_m10,0.0,recovery only,,2,translation,21,20,-1.5646877782153623e-13,9.206762227652921e-05,20,0.00023059008526615798,1.0,0.9996109008789062,3,0.00018028123304247856,0.5003522123796658,2.1413857827316713e-19,0.0040094410032907035,55.44248847601446,9.063964530323744e-05,0,20,6,false,-5.452255663840333e-06,ok,1.4279768168230023e-06,23,0.028613164999114815
color_m5,color,"{""base_field.npz"":""cells/translation_s0_color_m5/base_field.npz"",""base_reconstruction.npy"":""cells/translation_s0_color_m5/base_reconstruction.npy"",""config.json"":""cells/translation_s0_color_m5/config.json"",""curves.png"":""cells/translation_s0_color_m5/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translation_s0_color_m5/error.png"",""field.npz"":""cells/translation_s0_color_m5/field.npz"",""gradient_packet"":""cases/translation_s0/gradient_packet.npz"",""history.json"":""cells/translation_s0_color_m5/history.json"",""immediate.png"":""cells/translation_s0_color_m5/immediate.png"",""immediate_reconstruction.npy"":""cells/translation_s0_color_m5/immediate_reconstruction.npy"",""input_field.npz"":""cells/translation_s0_color_m5/input_field.npz"",""progress.jsonl"":""cells/translation_s0_color_m5/progress.jsonl"",""reconstruction.npy"":""cells/translation_s0_color_m5/reconstruction.npy"",""reconstruction.png"":""cells/translation_s0_color_m5/reconstruction.png"",""target.npy"":""cells/translation_s0_color_m5/target.npy"",""target.png"":""cells/translation_s0_color_m5/target.png""}",9.206762212006043e-05,translation_s0_color_m5,0.0,recovery only,,2,translation,21,20,1.402703265893638e-06,9.06649188541668e-05,20,0.0003454855759628117,0.5,0.9995952844619751,3,0.00018028123304247856,0.5003522123796658,1.4027041288500186e-06,0.0040094410032907035,54.798118666401066,9.041124913874258e-05,0,20,6,false,-5.452255663840333e-06,ok,1.6563729813178507e-06,23,0.027402599997003563
color_m10,color,"{""base_field.npz"":""cells/translation_s0_color_m10/base_field.npz"",""base_reconstruction.npy"":""cells/translation_s0_color_m10/base_reconstruction.npy"",""config.json"":""cells/translation_s0_color_m10/config.json"",""curves.png"":""cells/translation_s0_color_m10/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translation_s0_color_m10/error.png"",""field.npz"":""cells/translation_s0_color_m10/field.npz"",""gradient_packet"":""cases/translation_s0/gradient_packet.npz"",""history.json"":""cells/translation_s0_color_m10/history.json"",""immediate.png"":""cells/translation_s0_color_m10/immediate.png"",""immediate_reconstruction.npy"":""cells/translation_s0_color_m10/immediate_reconstruction.npy"",""input_field.npz"":""cells/translation_s0_color_m10/input_field.npz"",""progress.jsonl"":""cells/translation_s0_color_m10/progress.jsonl"",""reconstruction.npy"":""cells/translation_s0_color_m10/reconstruction.npy"",""reconstruction.png"":""cells/translation_s0_color_m10/reconstruction.png"",""target.npy"":""cells/translation_s0_color_m10/target.npy"",""target.png"":""cells/translation_s0_color_m10/target.png""}",9.206762212006043e-05,translation_s0_color_m10,0.0,recovery only,,2,translation,21,20,1.8825759638164556e-06,9.018504615624398e-05,20,0.00018239865312352777,1.0,0.9993405938148499,3,0.00018028123304247856,0.5003522123796658,1.882576611933473e-06,0.0040094410032907035,54.697916216344915,9.037258824207451e-05,0,20,6,false,-5.452255663840333e-06,ok,1.6950338779859273e-06,23,0.027978663998510456
split_d1_m5,split,"{""base_field.npz"":""cells/translation_s0_split_d1_m5/base_field.npz"",""base_reconstruction.npy"":""cells/translation_s0_split_d1_m5/base_reconstruction.npy"",""config.json"":""cells/translation_s0_split_d1_m5/config.json"",""curves.png"":""cells/translation_s0_split_d1_m5/curves.png"",""decision"":""decision.json"",""error.png"":""cells/translation_s0_split_d1_m5/error.png"",""field.npz"":""cells/translation_s0_split_d1_m5/field.npz"",""gradient_packet"":""cases/translation_s0/gradient_packet.npz"",""history.json"":""cells/translation_s0_split_d1_m5/history.json"",""immediate.png"":""cells/translation_s0_split_d1_m5/immediate.png"",""immediate_reconstruction.npy"":""cells/translation_s0_split_d1_m5/immediate_reconstruction.npy"",""input_field.npz"":""cells/translation_s0_split_d1_m5/input_field.npz"",""progress.jsonl"":""cells/translation_s0_split_d1_m5/progress.jsonl"",""reconstruction.npy"":""cells/translation_s0_split_d1_m5/reconstruction.npy"",""reconstruction.png"":""cells/translation_s0_split_d1_m5/reconstruction.png"",""target.npy"":""cells/translation_s0_split_d1_m5/target.npy"",""target.png"":""cells/translation_s0_split_d1_m5/target.png""}",9.206762212006043e-05,translation_s0_split_d1_m5,0.0,recovery only,1,2,translation,21,20,4.5849035470252265e-06,8.748271857303521e-05,20,0.0006156109739094973,0.5,0.9989404678344727,3,0.00018028123304247856,0.5003522123796658,6.8810145421593916e-06,0.0040094410032907035,54.770897289557816,9.040083446441256e-05,0,20,6,false,-5.452255663840333e-06,ok,1.6667876556478822e-06,23,0.02799161599978106
